cliente,gasto_total,segmento
Cliente_005,53380.69,Ouro
Cliente_049,48055.23,Ouro
Cliente_009,40003.41,Ouro
Cliente_007,35530.02,Ouro
Cliente_011,30615.25,Ouro
Cliente_043,27901.36,Ouro
Cliente_003,27129.53,Ouro
Cliente_008,26933.59,Ouro
Cliente_019,26176.65,Ouro
Cliente_006,26122.94,Ouro
Cliente_033,25967.45,Ouro
Cliente_037,25793.67,Ouro
Cliente_017,24061.25,Ouro
Cliente_035,23239.71,Ouro
Cliente_013,22747.06,Ouro
Cliente_022,22668.52,Ouro
Cliente_060,21988.26,Ouro
Cliente_020,21751.56,Ouro
Cliente_047,21198.13,Ouro
Cliente_042,21166.82,Ouro
Cliente_051,21037.53,Ouro
Cliente_053,20485.74,Ouro
Cliente_034,19953.07,Ouro
Cliente_018,19415.4,Ouro
Cliente_059,18663.2,Ouro
Cliente_056,18157.26,Ouro
Cliente_046,17901.99,Ouro
Cliente_026,17776.3,Ouro
Cliente_001,17688.62,Ouro
Cliente_028,17614.93,Ouro
Cliente_036,15266.35,Ouro
Cliente_023,15181.09,Ouro
Cliente_010,15131.76,Ouro
Cliente_039,14244.08,Prata
Cliente_044,14034.58,Prata
Cliente_021,13872.09,Prata
Cliente_038,13660.3,Prata
Cliente_048,13590.27,Prata
Cliente_041,13458.8,Prata
Cliente_030,13180.47,Prata
Cliente_027,12689.58,Prata
Cliente_040,12413.72,Prata
Cliente_058,12258.11,Prata
Cliente_002,12168.77,Prata
Cliente_052,12142.89,Prata
Cliente_057,12028.4,Prata
Cliente_004,11051.56,Prata
Cliente_012,10777.47,Prata
Cliente_024,9533.09,Prata
Cliente_014,9380.42,Prata
Cliente_025,9071.31,Prata
Cliente_029,7909.27,Prata
Cliente_016,7730.9,Prata
Cliente_015,7370.34,Prata
Cliente_031,6428.43,Prata
Cliente_054,5873.36,Prata
Cliente_045,3764.57,Bronze
Cliente_055,3107.76,Bronze
Cliente_032,1636.7,Bronze
Cliente_050,882.76,Bronze
