data,cliente,produto,categoria,quantidade,preco_unitario,regiao
22/02/2026,CLIENTE_16,  Fone de Ouvido   ,Eletronicos,9,388.4,Nordeste
14/09/2026,CLIENTE_13,Panela de Pressao,Casa,10,784.33,Norte
04/06/2026,cliente 10,  Garrafa Termica   ,Esporte,2,319.4,Nordeste
19/06/2026,Cliente-6,  Bola de Futebol   ,Esporte,2,,Centro-Oeste
06/06/2026,cliente 25,Mouse Sem Fio,Eletronicos,4,636.11,Sul
13/08/2026,cliente 47,Kit Canetas,Papelaria,11,209.36,Norte
19/04/2026,  cliente26  ,Panela de Pressao,Casa,6,456.82,Nordeste
09/09/2026,CLIENTE_16,  Luminaria de Mesa   ,Casa,7,368.47,Sudeste
DATA INVALIDA,  cliente49  ,Estojo Duplo,Papelaria,11,617.23,Sul
22/01/2026,Cliente-17,Faixa Elastica,Esporte,11,679.53,Norte
17/05/2026,Cliente_011,  Teclado Mecanico   ,Eletronicos,9,785.41,Centro-Oeste
25/09/2026,Cliente-24,  Kit Canetas   ,Papelaria,1,447.42,Sudeste
03/02/2026,  cliente16  ,  Jaqueta Corta-Vento   ,Vestuario,2,486.44,Sul
07/07/2026,Cliente-34,Kit Canetas,Papelaria,12,645.96,Nordeste
01/06/2026,cliente 16,Faixa Elastica,Esporte,4,21.36,Sul
08/09/2026,Cliente_056,Panela de Pressao,Casa,8,132.1,Sul
07/07/2026,cliente 51,Estojo Duplo,Papelaria,11,389.87,Sudeste
08/02/2026,CLIENTE_47,  Fone de Ouvido   ,Eletronicos,9,388.37,Centro-Oeste
DATA INVALIDA,CLIENTE_7,Carregador USB-C,Eletronicos,1,834.83,Norte
06/01/2026,  cliente14  ,Faixa Elastica,Esporte,7,708.9,Centro-Oeste
19/01/2026,Cliente_013,Estojo Duplo,Papelaria,1,65.59,Sudeste
03/03/2026,Cliente_033,Kit Canetas,Papelaria,11,372.34,Sul
11/09/2026,CLIENTE_6,  Panela de Pressao   ,Casa,4,293.05,Norte
01/02/2026,Cliente-60,  Bone Aba Curva   ,Vestuario,10,79.84,Nordeste
06/05/2026,Cliente_057,Luminaria de Mesa,Casa,9,556.33,Sul
04/02/2026,CLIENTE_57,Teclado Mecanico,Eletronicos,3,550.27,Sul
03/01/2026,CLIENTE_58,Bone Aba Curva,Vestuario,5,,Nordeste
01/09/2026,Cliente_036,Jaqueta Corta-Vento,Vestuario,12,497.85,Centro-Oeste
DATA INVALIDA,cliente 9,  Kit Canetas   ,Papelaria,1,200.92,Centro-Oeste
28/04/2026,Cliente-48,Bone Aba Curva,Vestuario,3,36.94,Norte
13/02/2026,Cliente-11,Corda de Pular,Esporte,8,737.68,Nordeste
09/06/2026,Cliente_043,Jogo de Toalhas,Casa,5,465.82,Sul
19/03/2026,Cliente-57,Camiseta Basica,Vestuario,5,,Sul
09/04/2026,CLIENTE_33,Bone Aba Curva,Vestuario,,475.13,Norte
22/06/2026,Cliente-43,Bone Aba Curva,Vestuario,12,463.8,Sul
22/07/2026,cliente 9,Garrafa Termica,Esporte,3,281.34,Norte
15/06/2026,CLIENTE_28,Tenis Casual,Vestuario,11,433.77,Sudeste
03/06/2026,cliente 43,  Teclado Mecanico   ,Eletronicos,4,213.81,Norte
